name,ENS,Address,Type,Quarter,Explorer Link,Note
Lifeship,,0xD39C1a86a153e1d743e3BCd9D30F0419a6eECf1c,Project Safe,,https://app.safe.global/home?safe=matic:0xD39C1a86a153e1d743e3BCd9D30F0419a6eECf1c,
Lucas0xlucasart,,0xD5629b8bF9D81720b9A87E01BFbB5D3fc507fe4F,Personal - Payout (EOA),,https://etherscan.io/address/0xD5629b8bF9D81720b9A87E01BFbB5D3fc507fe4F,
Lucas0xlucasart,0xlucasart.eth,0x2914a556270eA59Af3fbb78C757E61aa049Ad898,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x2914a556270eA59Af3fbb78C757E61aa049Ad898,
Lucas0xlucasart,0xlucasart.eth,0xe5c5C998a564f19F0a1F1ca9fcCE448B5ffF07B7,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xe5c5C998a564f19F0a1F1ca9fcCE448B5ffF07B7,
Lucas0xlucasart,,0x286D4A10Ad19de53CDE8FCEEAc90D577a6Aeb02A,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x286D4A10Ad19de53CDE8FCEEAc90D577a6Aeb02A,
Luffy.luffy54,,0xe6f4DC7260e77AA6Dc2F36596F3d19493eB20B93,Personal - Payout (EOA),,https://etherscan.io/address/0xe6f4DC7260e77AA6Dc2F36596F3d19493eB20B93,
Luffy.luffy54,luffy54.eth,0x0ef92ec4A74D755E12E5d57f80bc5435FB2c7Ee3,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x0ef92ec4A74D755E12E5d57f80bc5435FB2c7Ee3,
Luffy.luffy54,,0x1b3278d5d7B5302B523f4a582548340fD4B5Bd21,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x1b3278d5d7B5302B523f4a582548340fD4B5Bd21,
Luffy.luffy54,,0x2fAD2fFD214d27Ed5AcDe403DF4e8e8A0a272992,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x2fAD2fFD214d27Ed5AcDe403DF4e8e8A0a272992,
Luigiluisperdomo.eth,luisperdomo.eth,0x157Bd0591c9E80B5640dEC001E9d73720fa19960,Personal - Payout (EOA),,https://etherscan.io/address/0x157Bd0591c9E80B5640dEC001E9d73720fa19960,
Luigiluisperdomo.eth,,0xbdA91F1a99ca9992BdB8a75a9521d9050a1D159C,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xbdA91F1a99ca9992BdB8a75a9521d9050a1D159C,
Macconmaccon_,,0x1EEc6A3e8f7a369fA4866C2c9B2d38d485511e86,Personal - Payout (EOA),,https://etherscan.io/address/0x1EEc6A3e8f7a369fA4866C2c9B2d38d485511e86,
Macconmaccon_,,0xe60066ae711c2ED8dcA6dfBCA4363D862B6Fa3a4,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xe60066ae711c2ED8dcA6dfBCA4363D862B6Fa3a4,
Manuelmanuelolariu,,0xE862E2C1ca94eAcfEDe3c95a217c15EF0086a29D,Personal - Payout (EOA),,https://etherscan.io/address/0xE862E2C1ca94eAcfEDe3c95a217c15EF0086a29D,
Manuelmanuelolariu,Manuelolariu.eth,0xD4416b13d2b3a9aBae7AcD5D6C2BbDBE25686401,Personal - Signing/Other,,https://etherscan.io/address/0xD4416b13d2b3a9aBae7AcD5D6C2BbDBE25686401,"Unsure if this address is still in use, must confirm with Manuel"
Manuelmanuelolariu,,0x15b4B69866a93D2FEC3B06551E5026f30c3a7691,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x15b4B69866a93D2FEC3B06551E5026f30c3a7691,
Manuelmanuelolariu,,0x7D98eb18c02A7F694C444C636Fb10B2C1B7C386A,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x7D98eb18c02A7F694C444C636Fb10B2C1B7C386A,
Mingming6348,,0x7FD14Ce34975C4fcF8CffFc9E8eCc4ae5F5e21e3,Personal - Payout (EOA),,https://etherscan.io/address/0x7FD14Ce34975C4fcF8CffFc9E8eCc4ae5F5e21e3,
Mingming6348,,0x0552e248bea7cc95B3979B213269dA5B1a83f3c2,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x0552e248bea7cc95B3979B213269dA5B1a83f3c2,
Mitchiemitchie_mitch,,0xb1d4c1B9c8DA3191Fdb515Fa7AdeC3D41D014F4f,Personal - Payout (EOA),,https://etherscan.io/address/0xb1d4c1B9c8DA3191Fdb515Fa7AdeC3D41D014F4f,
Mitchiemitchie_mitch,,0x3d1F623BEedc1bdAaeA4E7F968B44e6262eaCcAd,Void,,https://etherscan.io/address/0x3d1F623BEedc1bdAaeA4E7F968B44e6262eaCcAd,Personal cold wallet used to receive some payments
Mitchiemitchie_mitch,mitchmcquinn.eth,0x9fDf876a50EA8f95017dCFC7709356887025B5BB,Personal - Signing/Other,,https://etherscan.io/address/0x9fDf876a50EA8f95017dCFC7709356887025B5BB,
Mitchiemitchie_mitch,,0xc39E0B012c53FaB0410A4F140af4151740dB7646,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0xc39E0B012c53FaB0410A4F140af4151740dB7646,
Mitchiemitchie_mitch,,0x15Ed45F80aA60E8eDebBdd2D6EF8a8B48a46d1FB,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x15Ed45F80aA60E8eDebBdd2D6EF8a8B48a46d1FB,
Mitchiemitchie_mitch,,0xEc441a5576bc6A54EF69945d612F0C477F00715f,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0xEc441a5576bc6A54EF69945d612F0C477F00715f,
Mitchiemitchie_mitch,,0xdC952a73416d087f72Dc61aD7121a3F5ae12ad89,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0xdC952a73416d087f72Dc61aD7121a3F5ae12ad89,
Mitchiemitchie_mitch,,0xE349346D67fC5c995EE12268788fAd232007E3c9,vMOONEY Safe,"EB Incentive, Q1 2024",https://app.safe.global/home?safe=matic:0xE349346D67fC5c995EE12268788fAd232007E3c9,
MoonDAO App Expansion,,0xAEF376C2CD7bD0D7347A7295baAC98AfE93729f9,Project Safe,,https://app.safe.global/home?safe=matic:0xAEF376C2CD7bD0D7347A7295baAC98AfE93729f9,
Newsletter Q4 2023,,0x2a8DC4e7892045b6729ae27C1a8e56eb3928eEBc,Project Safe,,https://app.safe.global/home?safe=matic:0x2a8DC4e7892045b6729ae27C1a8e56eb3928eEBc,
Noah Chon LeeHaonChon,,0x850a146D7478dAAa98Fc26Fd85e6A24e50846A9d,Personal - Payout (EOA),,https://etherscan.io/address/0x850a146D7478dAAa98Fc26Fd85e6A24e50846A9d,
Noah Chon LeeHaonChon,,0x805558FDbeC0948c1A3A6228dEe0F7b8DA6886cB,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x805558FDbeC0948c1A3A6228dEe0F7b8DA6886cB,
Onboarding Improvement,,0xB01F19De628B5f5dd3D609776C66272DEE91958c,Project Safe,,https://app.safe.global/home?safe=matic:0xB01F19De628B5f5dd3D609776C66272DEE91958c,
Pablopmoncada,,0x2e837E9077D5AFBF6b8AF5d01BFDef3Cd2A990EE,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0x2e837E9077D5AFBF6b8AF5d01BFDef3Cd2A990EE,
Pablopmoncada,,0x679d87D8640e66778c3419D164998E720D7495f6,Personal - Payout (EOA),,https://etherscan.io/address/0x679d87D8640e66778c3419D164998E720D7495f6,
Pablopmoncada,,0x9B2Abe6d884B294B39271565eDe2353F3a3f9692,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x9B2Abe6d884B294B39271565eDe2353F3a3f9692,
Pablopmoncada,,0xE4CaCCfB1cb5c96539e64512E672ABCe6E0cAd9A,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xE4CaCCfB1cb5c96539e64512E672ABCe6E0cAd9A,
Pablopmoncada,,0xf7054205560C1BEEB53e405cc9f32f2dDd87Eb30,vMOONEY Safe,"EB Incentive, Q1 2024",https://app.safe.global/home?safe=matic:0xf7054205560C1BEEB53e405cc9f32f2dDd87Eb30,
Pablopmoncada,,0xBb8D5B74D4B18Aaa3d44C95836ED9C1093E0Fd23,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0xBb8D5B74D4B18Aaa3d44C95836ED9C1093E0Fd23,
Philphiliplinden,philiplinden.eth,0x6bFd9e435cF6194c967094959626ddFF4473a836,Personal - Payout (EOA),,https://etherscan.io/address/0x6bFd9e435cF6194c967094959626ddFF4473a836,
Philphiliplinden,,0x0A54a7b87f6e58B064c44Ec4725Fb1429fb3cFC8,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x0A54a7b87f6e58B064c44Ec4725Fb1429fb3cFC8,
Philphiliplinden,,0xB80eE986B7ACE46b082CAD8395D2B4A3D5c6E454,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xB80eE986B7ACE46b082CAD8395D2B4A3D5c6E454,
Philphiliplinden,,0xD08153F3528019E5497b10C518C46FeE25d5Cd3d,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0xD08153F3528019E5497b10C518C46FeE25d5Cd3d,
Philphiliplinden,,0xaB3BC7aD7c593116724d563aDDd1bE2Ad281665c,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0xaB3BC7aD7c593116724d563aDDd1bE2Ad281665c,
Pipilupipilu,,0x4c55c41bd839b3552fb2abecacfdf4a5d2879cb9,Personal - Payout (EOA),,https://etherscan.io/address/0x4c55c41bd839b3552fb2abecacfdf4a5d2879cb9,
Pipilupipilu,,0x4c55C41Bd839B3552fb2AbecaCFdF4a5D2879Cb9,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x4c55C41Bd839B3552fb2AbecaCFdF4a5D2879Cb9,
Pipilupipilu,,0xB06449C69d69AD899E58C4D49229Ee32fAB991E5,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0xB06449C69d69AD899E58C4D49229Ee32fAB991E5,
Rodionrod,,0xA64f2228cceC96076c82abb903021C33859082F8,Personal - Payout (EOA),,https://etherscan.io/address/0xA64f2228cceC96076c82abb903021C33859082F8,
Rodionrod,,0xF5B2DEB7D684e262063CF0049A531BB8F161857e,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0xF5B2DEB7D684e262063CF0049A531BB8F161857e,
Rodionrod,,0xE81cDbb71a520523e21Aebb9b037C6ecbeCaf1c0,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xE81cDbb71a520523e21Aebb9b037C6ecbeCaf1c0,
Royaltyroyalty3684,,,Personal - Payout (EOA),,,
Royaltyroyalty3684,,0x16BDaf30dC94eEA159BB6D87ba46161E538a4D8f,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x16BDaf30dC94eEA159BB6D87ba46161E538a4D8f,
Royaltyroyalty3684,,0x9fF1F6a5Fb9724C54f708d8437E121937B7e913d,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x9fF1F6a5Fb9724C54f708d8437E121937B7e913d,
Royaltyroyalty3684,,0x3b3DBE1705554c91176B59fD68bBEDb88314bfCF,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0x3b3DBE1705554c91176B59fD68bBEDb88314bfCF,
Ryanryand2d,,0xB2d3900807094D4Fe47405871B0C8AdB58E10D42,Personal - Signing/Other,,https://etherscan.io/address/0xB2d3900807094D4Fe47405871B0C8AdB58E10D42,
Ryanryand2d,,0x78176eaabcb3255e898079dc67428e15149cdc99,Personal - Payout (EOA),,https://etherscan.io/address/0x78176eaabcb3255e898079dc67428e15149cdc99,
Ryanryand2d,,0x17856076A3FA100A806618eAcFa9a13e49C4940D,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x17856076A3FA100A806618eAcFa9a13e49C4940D,
Ryanryand2d,,0x9A71F0d7E7658A971D66D1A968125A2b69877353,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x9A71F0d7E7658A971D66D1A968125A2b69877353,
Ryanryand2d,,0x94A30F2eC41c786593D6E4D227da88565F598809,Void,,https://etherscan.io/address/0x94A30F2eC41c786593D6E4D227da88565F598809,
Ryanryand2d,,0x10C79628cc56Ad51B8ae298E5D398a19C95CF443,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x10C79628cc56Ad51B8ae298E5D398a19C95CF443,
Ryanryand2d,,0xFc4e0D2798B31d622C84C9216B074B174486673F,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0xFc4e0D2798B31d622C84C9216B074B174486673F,
Ryanryand2d,,0x5533B4340De5e5Adba83a832899FF783AaA7dA48,vMOONEY Safe,"EB Incentive, Q1 2024",https://app.safe.global/home?safe=matic:0x5533B4340De5e5Adba83a832899FF783AaA7dA48,
Santiagosantiagoitzcoatl,,0xad43D363701Ed3EFC1263DC4b658745fA3E90e4B,Personal - Payout (EOA),,https://etherscan.io/address/0xad43D363701Ed3EFC1263DC4b658745fA3E90e4B,
Santiagosantiagoitzcoatl,,0x4f5aA4E56bc899a4A51aAA184449409CE16EB5D5,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x4f5aA4E56bc899a4A51aAA184449409CE16EB5D5,
Seanastrosupreme,,0x151D751565DDe0474773747f1b61FFe4Fb291cc1,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x151D751565DDe0474773747f1b61FFe4Fb291cc1,
"Second Astronaut Reselection 
(aka. Sweepstakes)",,0x59Ae8A0a6f20C918d2558B5624e25BABbD659Bba,Project Safe,,https://app.safe.global/home?safe=matic:0x59Ae8A0a6f20C918d2558B5624e25BABbD659Bba,
Sforzsfladepo#2644,,0xEeBAEBaC995989A5Eda2e6149E7B9CD451459ee1,Personal - Payout (EOA),,https://etherscan.io/address/0xEeBAEBaC995989A5Eda2e6149E7B9CD451459ee1,
Sforzsfladepo#2644,,0x9419AC12f7524b5D4e49440E810CE0433591E201,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x9419AC12f7524b5D4e49440E810CE0433591E201,
Sheldensheldenshi,,0xc2BCF46CBC9F4CedA617cB41F2158BE525dD008b,Personal - Payout (EOA),,https://etherscan.io/address/0xc2BCF46CBC9F4CedA617cB41F2158BE525dD008b,
Sheldensheldenshi,,0x5a40A87aaE13cD6260B8FC431e02c2Ea502883E5,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x5a40A87aaE13cD6260B8FC431e02c2Ea502883E5,
Sheldensheldenshi,,0x696Ec4abB45ab2Ef031A52C787318CF7b756AEf6,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0x696Ec4abB45ab2Ef031A52C787318CF7b756AEf6,
SpaceTime Protocol,,0x4E1F1Cf3E973516Cd361816c9AdB6C6d922aBfD9,Project Safe,,https://app.safe.global/home?safe=matic:0x4E1F1Cf3E973516Cd361816c9AdB6C6d922aBfD9,
Stelliesuper.jellie#9120,,0x8C1Bf43198c5E7cAB13439e0C53A8650033d03ef,Personal - Payout (EOA),,https://etherscan.io/address/0x8C1Bf43198c5E7cAB13439e0C53A8650033d03ef,
Stelliesuper.jellie#9120,,0x732Fec3B91466F77C5132BC82fbf51743Ddb44Cd,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x732Fec3B91466F77C5132BC82fbf51743Ddb44Cd,
Stelliesuper.jellie#9120,,0xd0D727F73EE9d94528950955626D223A8808893C,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0xd0D727F73EE9d94528950955626D223A8808893C,
Southsidesouthside98,,0x3d802730A2F2e24b23d53cd7c5D9a06646e1ff10,Personal - Payout (EOA),,https://etherscan.io/address/0x3d802730A2F2e24b23d53cd7c5D9a06646e1ff10,
Southsidesouthside98,,0x8E323cA231009966574Ed51Cb0c6069207DaDd82,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0x8E323cA231009966574Ed51Cb0c6069207DaDd82,
Susiecowtools4549,,0x2Ca5F90962c415DA3E3E1761f7Ca159d2E081c46,Personal - Payout (EOA),,https://etherscan.io/address/0x2Ca5F90962c415DA3E3E1761f7Ca159d2E081c46,
Susiecowtools4549,,0xd98FC50f99390135b2DfA021DBc4b03faBA3cdCe,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xd98FC50f99390135b2DfA021DBc4b03faBA3cdCe,
Titani24titan,,0x86c779b3741e83A36A2a236780d436E4EC673Af4,Personal - Payout (EOA),,https://etherscan.io/address/0x86c779b3741e83A36A2a236780d436E4EC673Af4,
Titani24titan,,0x1EDbB3f9bC239754182391Be95dfc40e698be4B9,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x1EDbB3f9bC239754182391Be95dfc40e698be4B9,
Titani24titan,,0x240758f11085A6359Ba643BD8dfDfDcE061A647d,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0x240758f11085A6359Ba643BD8dfDfDcE061A647d,
Translation Bridge Project,,0x012951E3440545a78e706D1be4D2f253269287c4,Project Safe,,https://app.safe.global/home?safe=matic:0x012951E3440545a78e706D1be4D2f253269287c4,
Translation Bridge Project (Q423),,0x012951E3440545a78e706D1be4D2f253269287c5,Project Safe,,https://app.safe.global/home?safe=matic:0x012951E3440545a78e706D1be4D2f253269287c5,
Twodamtwodam,,0xca6ed3fdc8162304d7f1fcfc9ca3a81632d5e5b0,Personal - Payout (EOA),,https://etherscan.io/address/0xca6ed3fdc8162304d7f1fcfc9ca3a81632d5e5b0,
Twodamtwodam,,0xD78285eef93E13D1F96062265b68099C480121b8,Personal - Signing/Other,,https://etherscan.io/address/0xD78285eef93E13D1F96062265b68099C480121b8,
Twodamtwodam,,0x28BCeE558B073ebd2C82817Ea97102003BEe1D30,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0x28BCeE558B073ebd2C82817Ea97102003BEe1D30,
Tylertyler.shm,,0x680f8C4b76AD9FBE3a25FF40aaceC9Aaf357B885,Personal - Payout (EOA),,https://etherscan.io/address/0x680f8C4b76AD9FBE3a25FF40aaceC9Aaf357B885,
Tylertyler.shm,,0xc69d406879b1E2A566611a47d2b6B9f8501e9Dce,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xc69d406879b1E2A566611a47d2b6B9f8501e9Dce,
Video Bounties,,0x012951E3440545a78e706D1be4D2f253269287c4,Project Safe,,https://app.safe.global/home?safe=matic:0x012951E3440545a78e706D1be4D2f253269287c4,
Vitalia Makerspace,,0xB81160c24D6482C87BC9640313031cf844429664,Project Safe,,https://app.safe.global/home?safe=matic:0xB81160c24D6482C87BC9640313031cf844429664,
Webmaster V2,,0xDEb655a6F7F23Dc12cE5610Fc47a87A2176e46a7,Project Safe,,https://app.safe.global/home?safe=matic:0xDEb655a6F7F23Dc12cE5610Fc47a87A2176e46a7,
Yan VISA,,0xAB86C30622Aa2601bB7e04620Eb6c9b5325c6ed5,Project Safe,,https://app.safe.global/home?safe=matic:0xAB86C30622Aa2601bB7e04620Eb6c9b5325c6ed5,
Yanyankejun,,0x3e917eAdd649784aaFBEB5Cf4C9132fce42f9f90,Personal - Payout (EOA),,https://etherscan.io/address/0x3e917eAdd649784aaFBEB5Cf4C9132fce42f9f90,
ZeroG,,0xa3a2A9AFeE83221AAf79f0Fdfe948FDab3ddC730,Project Safe,,https://app.safe.global/home?safe=matic:0xa3a2A9AFeE83221AAf79f0Fdfe948FDab3ddC730,